transaction_id_anonymized,client_id_anonymized,transaction_amount_anonymized,transaction_type_anonymized,transaction_date_anonymized,compliance_flag_anonymized,account_balance_anonymized,location_anonymized
1,1007,5409.15831013806,withdrawal,2023-01-01 00:00:00,True,16866.55602206477,IL
2,1028,14544.956676872393,deposit,2023-01-01 01:00:00,True,16329.501286413253,NY
3,1078,7733.2326022532225,withdrawal,2023-01-01 02:00:00,True,73737.47884097123,TX
4,1010,11457.176825534576,withdrawal,2023-01-01 03:00:00,True,13427.89441507032,NY
5,1056,8289.50465057584,transfer,2023-01-01 04:00:00,True,68288.55449817862,IL
6,1090,13134.26103104143,payment,2023-01-01 05:00:00,True,6332.672018149821,FL
7,1003,2366.350051548108,withdrawal,2023-01-01 06:00:00,True,38985.412546093896,NY
8,1003,7622.0096039291575,withdrawal,2023-01-01 07:00:00,True,329.8232691473001,CA
9,1023,3511.124742013979,payment,2023-01-01 08:00:00,True,55001.40284274272,IL
10,1050,10742.528722368905,payment,2023-01-01 09:00:00,True,16399.773840127273,TX
11,1016,1758.803803647023,withdrawal,2023-01-01 10:00:00,False,83481.6606312181,IL
12,1099,10990.714216465005,deposit,2023-01-01 11:00:00,True,44448.534133547146,IL
13,1029,1255.9046484364383,transfer,2023-01-01 12:00:00,True,85420.3343573417,NY
14,1004,10362.259985028826,withdrawal,2023-01-01 13:00:00,True,1723.5760898495914,IL
15,1097,10379.461960911727,deposit,2023-01-01 14:00:00,True,95894.22588849402,CA
16,1053,13016.85422583998,deposit,2023-01-01 15:00:00,True,89847.07522359725,FL
17,1028,3999.8958554756496,payment,2023-01-01 16:00:00,True,24188.95952101519,CA
18,1002,4804.160732650589,withdrawal,2023-01-01 17:00:00,True,89216.52041575611,TX
19,1031,9088.252108258677,payment,2023-01-01 18:00:00,True,14885.587913269317,CA
20,1073,3948.192503018355,deposit,2023-01-01 19:00:00,False,45224.96194452391,TX
21,1063,946.3447415528717,withdrawal,2023-01-01 20:00:00,False,93550.80543769964,FL
22,1037,14890.004156345269,transfer,2023-01-01 21:00:00,True,58789.240971572406,FL
23,1023,13044.145646303525,withdrawal,2023-01-01 22:00:00,True,17520.42154408167,CA
24,1055,11866.188841183066,payment,2023-01-01 23:00:00,True,28592.32344995096,IL
25,1088,9672.538046749833,payment,2023-01-02 00:00:00,True,59877.95839479893,IL
26,1095,11202.704338608917,transfer,2023-01-02 01:00:00,True,34753.15608581829,FL
27,1072,12200.372706459077,deposit,2023-01-02 02:00:00,True,82102.56262163019,CA
28,1099,5075.988390373132,deposit,2023-01-02 03:00:00,False,69708.2082811789,TX
29,1001,2104.6294868046325,payment,2023-01-02 04:00:00,True,52619.01932308856,TX
30,1064,12145.05966449206,withdrawal,2023-01-02 05:00:00,True,27317.871883017753,NY
31,1060,14188.09983142233,transfer,2023-01-02 06:00:00,True,76060.47973380213,NY
32,1086,9558.37485896813,deposit,2023-01-02 07:00:00,True,32411.003170590157,FL
33,1083,9236.607348563717,withdrawal,2023-01-02 08:00:00,True,84599.36714939999,IL
34,1079,3925.8230665565034,withdrawal,2023-01-02 09:00:00,True,20690.550288087303,TX
35,1083,8244.4811151314,deposit,2023-01-02 10:00:00,True,91529.72586967192,IL
36,1039,7318.6267970430345,deposit,2023-01-02 11:00:00,True,67391.90907527343,NY
37,1080,6844.9727451554945,payment,2023-01-02 12:00:00,True,20596.96117275796,FL
38,1050,6236.579185821439,withdrawal,2023-01-02 13:00:00,True,2707.8161798984956,IL
39,1072,6640.021393344728,payment,2023-01-02 14:00:00,True,93677.89916493793,NY
40,1052,8196.72587312716,withdrawal,2023-01-02 15:00:00,True,36699.66011279986,CA
41,1035,12692.225104076086,withdrawal,2023-01-02 16:00:00,True,37361.58387751414,NY
42,1031,13410.691609593008,transfer,2023-01-02 17:00:00,True,48750.42936815778,IL
43,1097,14846.606338125133,payment,2023-01-02 18:00:00,True,4764.469864732874,CA
44,1044,580.7747005487308,withdrawal,2023-01-02 19:00:00,True,34301.64380893059,CA
45,1006,1654.6339632138001,deposit,2023-01-02 20:00:00,True,39011.29125996188,CA
46,1068,7201.662688100242,transfer,2023-01-02 21:00:00,True,12263.124944636844,NY
47,1084,11049.368260554284,payment,2023-01-02 22:00:00,True,58666.69985831409,NY
48,1005,3384.5665561168535,transfer,2023-01-02 23:00:00,True,69152.4908369316,CA
49,1078,7719.838288249461,payment,2023-01-03 00:00:00,True,83681.86624816313,CA
