transaction_id_anonymized,client_id_anonymized,transaction_amount_anonymized,transaction_type_anonymized,transaction_date_anonymized,compliance_flag_anonymized,account_balance_anonymized,location_anonymized
1,1010,3840.3576005993414,deposit,2023-01-01 00:00:00,True,27009.80917298065,IL
2,1039,3730.2314543477905,payment,2023-01-01 01:00:00,True,96363.12471062603,NY
3,1087,148.1241787862055,deposit,2023-01-01 02:00:00,True,38173.594320712626,FL
4,1081,292.0085366501833,withdrawal,2023-01-01 03:00:00,True,91976.16852585552,TX
5,1017,11217.54508305216,deposit,2023-01-01 04:00:00,True,95251.45328014831,IL
6,1074,6595.358975390302,deposit,2023-01-01 05:00:00,True,74332.3425355153,TX
7,1092,4187.708201370328,payment,2023-01-01 06:00:00,True,25193.34617021667,FL
8,1048,9525.274099703296,transfer,2023-01-01 07:00:00,True,7782.988135519817,NY
9,1029,776.6664040027216,transfer,2023-01-01 08:00:00,False,54585.35651079438,TX
10,1051,5039.02976318336,deposit,2023-01-01 09:00:00,False,67608.58468474065,TX
11,1078,1473.1127111666108,withdrawal,2023-01-01 10:00:00,True,85044.79504893566,CA
12,1090,12288.20288332988,transfer,2023-01-01 11:00:00,True,31802.3168725957,FL
13,1063,8005.28301430412,transfer,2023-01-01 12:00:00,True,61771.05065148658,NY
14,1020,10585.081407163501,payment,2023-01-01 13:00:00,True,50851.651004791755,NY
15,1031,2211.868343580088,withdrawal,2023-01-01 14:00:00,True,80669.23532456541,FL
16,1021,11191.269042653877,transfer,2023-01-01 15:00:00,True,27023.080145239837,IL
17,1023,10412.154291601128,payment,2023-01-01 16:00:00,True,97074.43507027283,CA
18,1089,11350.421857337196,transfer,2023-01-01 17:00:00,True,88205.14837847649,CA
19,1087,4107.982918756487,withdrawal,2023-01-01 18:00:00,True,26300.703465682407,NY
20,1005,2080.85645348866,payment,2023-01-01 19:00:00,False,96580.65990282845,NY
21,1025,1711.9674860370374,deposit,2023-01-01 20:00:00,True,7413.999530018248,NY
22,1029,14009.905396696293,payment,2023-01-01 21:00:00,True,23336.70664937906,TX
23,1057,7017.566627053949,transfer,2023-01-01 22:00:00,True,16021.161978908342,FL
24,1038,11681.093724603737,withdrawal,2023-01-01 23:00:00,True,87411.95630249601,TX
25,1059,9765.182820261212,withdrawal,2023-01-02 00:00:00,True,75941.16198502349,NY
26,1042,14613.924823442538,withdrawal,2023-01-02 01:00:00,True,301.5270580912189,IL
27,1076,10455.915398122412,deposit,2023-01-02 02:00:00,True,70907.68813065276,CA
28,1063,8543.050238994556,deposit,2023-01-02 03:00:00,True,16271.990466800404,FL
29,1091,4786.133008378791,transfer,2023-01-02 04:00:00,True,2888.1664761772304,TX
30,1087,10874.483596771888,transfer,2023-01-02 05:00:00,True,98546.07800452187,FL
31,1067,4252.367231767279,transfer,2023-01-02 06:00:00,True,63841.67578432762,IL
32,1044,7414.4861810468665,transfer,2023-01-02 07:00:00,True,60779.794000826936,NY
33,1031,14408.457928727837,transfer,2023-01-02 08:00:00,True,89825.65912644539,NY
34,1078,1774.6830482719122,transfer,2023-01-02 09:00:00,True,39566.52724215613,TX
35,1085,10735.565542546678,withdrawal,2023-01-02 10:00:00,True,37643.20910738028,TX
36,1051,10387.29899111302,deposit,2023-01-02 11:00:00,True,62528.93623015531,TX
37,1015,3264.2878325166666,payment,2023-01-02 12:00:00,False,39091.81350949324,CA
38,1008,10736.79817738968,transfer,2023-01-02 13:00:00,True,74132.75943328596,IL
39,1068,8205.076473141413,deposit,2023-01-02 14:00:00,True,1022.5904992469913,CA
40,1071,737.5779487600194,withdrawal,2023-01-02 15:00:00,True,45278.578072113625,CA
41,1056,13858.164835026593,transfer,2023-01-02 16:00:00,True,18825.233942782776,CA
42,1013,764.9298440507152,transfer,2023-01-02 17:00:00,True,7981.227453161838,NY
43,1037,8311.58747540607,withdrawal,2023-01-02 18:00:00,True,66409.3734070971,TX
44,1001,3613.598876755901,payment,2023-01-02 19:00:00,True,6562.378713113821,IL
45,1065,5911.859610186592,withdrawal,2023-01-02 20:00:00,True,9201.606393985847,IL
46,1057,6400.7681911842155,transfer,2023-01-02 21:00:00,True,95548.03542719623,CA
47,1077,3618.507650160807,payment,2023-01-02 22:00:00,False,81731.75045604994,CA
48,1006,11741.251385637977,payment,2023-01-02 23:00:00,True,43811.864867142234,CA
49,1093,5738.717597111146,deposit,2023-01-03 00:00:00,True,55609.01358728338,FL
50,1001,14710.233153538624,withdrawal,2023-01-03 01:00:00,True,88584.53438165993,FL
51,1072,14109.004566322134,payment,2023-01-03 02:00:00,False,71103.96101624625,CA
52,1050,13645.51073829183,deposit,2023-01-03 03:00:00,True,57197.587908919326,IL
53,1025,6638.854440681358,transfer,2023-01-03 04:00:00,True,97999.77903971932,NY
54,1049,2407.9530324310167,transfer,2023-01-03 05:00:00,True,92404.42446875147,NY
55,1085,8881.566429231467,deposit,2023-01-03 06:00:00,True,83965.97805044049,NY
56,1016,7164.605254892917,transfer,2023-01-03 07:00:00,True,38954.19944551357,FL
57,1023,2754.1099052286513,transfer,2023-01-03 08:00:00,True,95080.56999178202,FL
58,1052,2214.7038182234865,transfer,2023-01-03 09:00:00,True,73930.4322546195,TX
59,1053,8556.256288300405,payment,2023-01-03 10:00:00,True,88707.37555592443,NY
60,1036,8929.266434927174,deposit,2023-01-03 11:00:00,True,38627.0560066643,FL
61,1076,12654.971651021198,deposit,2023-01-03 12:00:00,True,44777.389073385675,NY
62,1006,10323.020604013394,payment,2023-01-03 13:00:00,True,42777.63089892809,IL
63,1073,9826.619965136086,payment,2023-01-03 14:00:00,False,11287.205380463409,IL
64,1000,5380.052790117857,withdrawal,2023-01-03 15:00:00,True,28270.600552670363,NY
65,1033,4443.641485957589,transfer,2023-01-03 16:00:00,True,49561.64349036225,FL
66,1033,7875.115191513052,payment,2023-01-03 17:00:00,True,80952.23228852726,NY
67,1087,10559.670616826685,payment,2023-01-03 18:00:00,False,44609.66799648741,IL
68,1095,567.0215100759136,withdrawal,2023-01-03 19:00:00,True,22946.25394147072,CA
69,1060,10379.40160566823,deposit,2023-01-03 20:00:00,True,83912.64239046644,NY
70,1044,2397.377922538861,deposit,2023-01-03 21:00:00,True,50621.54676161213,TX
71,1046,14169.678657183962,payment,2023-01-03 22:00:00,True,43004.44806844685,FL
72,1066,14238.146418809833,deposit,2023-01-03 23:00:00,True,67390.28885815702,NY
73,1019,12936.052044130593,withdrawal,2023-01-04 00:00:00,True,47516.2013542799,CA
74,1035,2989.912056623242,transfer,2023-01-04 01:00:00,True,55613.66288828133,TX
75,1049,7163.065136689536,payment,2023-01-04 02:00:00,True,97367.29094904909,NY
76,1005,14732.372502478203,withdrawal,2023-01-04 03:00:00,True,90950.59600060158,CA
77,1060,3340.544596795962,deposit,2023-01-04 04:00:00,True,38319.56644013403,IL
78,1006,13983.744894383584,withdrawal,2023-01-04 05:00:00,True,66635.67926825759,IL
79,1024,9666.458846696758,deposit,2023-01-04 06:00:00,True,83375.46146513622,FL
80,1067,6406.251489896778,transfer,2023-01-04 07:00:00,True,18366.38736048038,NY
81,1060,5827.290068523456,withdrawal,2023-01-04 08:00:00,True,37285.16400094921,NY
82,1005,6060.031267742677,payment,2023-01-04 09:00:00,True,12511.838368104482,IL
83,1048,11949.300100022218,withdrawal,2023-01-04 10:00:00,True,79050.74838401574,TX
84,1047,6465.337203858201,payment,2023-01-04 11:00:00,True,60732.32977353749,FL
85,1048,5928.173032841732,payment,2023-01-04 12:00:00,True,4775.391925579885,IL
86,1002,9462.293559335914,transfer,2023-01-04 13:00:00,True,77036.02588919645,CA
87,1062,12586.135585719907,withdrawal,2023-01-04 14:00:00,True,25306.08529290807,FL
88,1076,1043.3505525030855,transfer,2023-01-04 15:00:00,True,59948.954927086124,NY
89,1033,8774.231707203235,payment,2023-01-04 16:00:00,True,77959.30761815616,FL
90,1060,174.06233987983586,deposit,2023-01-04 17:00:00,True,46083.78458838163,IL
91,1092,4865.647032876369,payment,2023-01-04 18:00:00,True,40897.00021553332,TX
92,1013,12791.64685335634,transfer,2023-01-04 19:00:00,True,27102.568919156107,IL
93,1095,7787.718907662117,deposit,2023-01-04 20:00:00,True,51637.72628532824,NY
94,1039,11064.311886220377,payment,2023-01-04 21:00:00,True,50034.29570508717,TX
95,1086,99.97680251802281,payment,2023-01-04 22:00:00,True,70054.19724405088,CA
96,1023,9429.542122139988,transfer,2023-01-04 23:00:00,True,56534.87853240203,TX
97,1046,7853.343799674059,transfer,2023-01-05 00:00:00,True,10616.891146101027,IL
98,1000,1839.417011272212,withdrawal,2023-01-05 01:00:00,True,54019.05517903652,FL
